14/05/2026 11:35:20
Spectrometer: USB2G38355
Integration time (ms): 22.0
Scans averaged: 30

Wavelength,Absorbance
901.000,NaN
902.000,NaN
903.000,NaN
904.000,-1.389
905.000,NaN
906.000,NaN
907.000,NaN
908.000,NaN
909.000,NaN
910.000,-0.906
911.000,NaN
912.000,NaN
913.000,NaN
914.000,NaN
915.000,NaN
916.000,NaN
917.000,NaN
918.000,NaN
919.000,NaN
920.000,NaN
921.000,-1.633
922.000,NaN
923.000,NaN
924.000,-0.745
925.000,NaN
926.000,NaN
927.000,NaN
928.000,NaN
929.000,NaN
930.000,NaN
931.000,NaN
932.000,NaN
933.000,-1.295
934.000,-1.687
935.000,NaN
936.000,-1.280
937.000,NaN
938.000,NaN
939.000,NaN
940.000,NaN
941.000,NaN
942.000,NaN
943.000,NaN
944.000,NaN
945.000,-1.087
946.000,NaN
947.000,NaN
948.000,-1.502
949.000,NaN
950.000,-1.634
951.000,NaN
952.000,NaN
953.000,NaN
954.000,-0.982
955.000,NaN
956.000,-0.994
957.000,NaN
958.000,-0.715
959.000,NaN
960.000,-1.225
961.000,-2.710
962.000,-1.858
963.000,NaN
964.000,NaN
965.000,-2.654
966.000,-1.330
967.000,-1.450
968.000,NaN
969.000,NaN
970.000,-1.355
971.000,-0.864
972.000,NaN
973.000,-0.861
974.000,-0.677
975.000,NaN
976.000,-1.365
977.000,-0.879
978.000,-0.909
979.000,NaN
980.000,NaN
981.000,NaN
982.000,NaN
983.000,NaN
984.000,NaN
985.000,NaN
986.000,NaN
987.000,-0.668
988.000,NaN
989.000,NaN
990.000,-0.836
991.000,NaN
992.000,-0.788
993.000,NaN
994.000,NaN
995.000,-0.787
996.000,NaN
997.000,NaN
998.000,NaN
999.000,-1.767
1000.000,NaN
